# TIA-102.BABA-A imbe_bit_prioritization.csv — Full-Rate Bit Prioritization Map (L-dependent scan)
# Source: BABA-A PDF, pages 33–35 (Section 7.1), combined with Annex F (B_m for b̂₃..b̂₇)
#         and Annex G (B_m for b̂₈..b̂_{L+1}). Figure 22 scan algorithm expanded to explicit
#         (src_param, src_bit) → (dst_vec, dst_bit) mapping for every L in [9, 56].
# Invariants verified for every L:
#   - Bit budget 8 + K + 6 + (73-K) + 1 = 88 (PASS)
#   - src coverage: every allocated (b̂_l, bit) appears exactly once (PASS)
#   - dst coverage: û_0..û_7 bits 0..(width-1) each appear exactly once (PASS)
# Parameter widths: b̂₀=8 (pitch), b̂₁=K (V/UV, see Eq. 48), b̂₂=6 (gain),
#                    b̂_l for l=3..7 from Annex F, b̂_l for l=8..L+1 from Annex G,
#                    b̂_{L+2} has 1 transmitted bit (LSB only, always in û₇[0]).
# Total rows = 48 L values × 88 info bits = 4224.
L,src_param,src_bit,dst_vec,dst_bit
19,6,2,2,7
19,7,2,2,6
19,8,2,2,5
19,9,2,2,4
19,10,2,2,3
19,11,2,2,2
19,12,2,2,1
19,13,2,2,0
19,14,2,3,11
19,15,2,3,10
19,16,2,3,9
19,18,2,3,8
19,3,1,3,7
19,4,1,3,6
19,5,1,3,5
19,6,1,3,4
19,7,1,3,3
19,8,1,3,2
19,9,1,3,1
19,10,1,3,0
19,1,6,4,10
19,1,5,4,9
19,1,4,4,8
19,1,3,4,7
19,1,2,4,6
19,1,1,4,5
19,1,0,4,4
19,2,2,4,3
19,2,1,4,2
19,11,1,4,1
19,12,1,4,0
19,13,1,5,10
19,14,1,5,9
19,15,1,5,8
19,16,1,5,7
19,17,1,5,6
19,18,1,5,5
19,19,1,5,4
19,3,0,5,3
19,4,0,5,2
19,5,0,5,1
19,6,0,5,0
19,7,0,6,10
19,8,0,6,9
19,9,0,6,8
19,10,0,6,7
19,11,0,6,6
19,12,0,6,5
19,13,0,6,4
19,14,0,6,3
19,15,0,6,2
19,16,0,6,1
19,17,0,6,0
19,18,0,7,6
19,19,0,7,5
19,20,0,7,4
19,2,0,7,3
19,0,1,7,2
19,0,0,7,1
19,21,0,7,0
20,0,7,0,11
20,0,6,0,10
20,0,5,0,9
20,0,4,0,8
20,0,3,0,7
20,0,2,0,6
20,2,5,0,5
20,2,4,0,4
20,2,3,0,3
20,3,5,0,2
20,3,4,0,1
20,4,4,0,0
20,5,4,1,11
20,8,4,1,10
20,10,4,1,9
20,3,3,1,8
20,4,3,1,7
20,5,3,1,6
20,6,3,1,5
20,7,3,1,4
20,8,3,1,3
20,9,3,1,2
20,10,3,1,1
20,11,3,1,0
20,12,3,2,11
20,3,2,2,10
20,4,2,2,9
20,5,2,2,8
20,6,2,2,7
20,7,2,2,6
20,8,2,2,5
20,9,2,2,4
20,10,2,2,3
20,11,2,2,2
20,12,2,2,1
20,13,2,2,0
20,14,2,3,11
20,16,2,3,10
20,19,2,3,9
20,3,1,3,8
20,4,1,3,7
20,5,1,3,6
20,6,1,3,5
20,7,1,3,4
20,8,1,3,3
20,9,1,3,2
20,10,1,3,1
20,11,1,3,0
20,1,6,4,10
20,1,5,4,9
20,1,4,4,8
20,1,3,4,7
20,1,2,4,6
20,1,1,4,5
20,1,0,4,4
20,2,2,4,3
20,2,1,4,2
20,12,1,4,1
20,13,1,4,0
20,14,1,5,10
20,15,1,5,9
20,16,1,5,8
20,17,1,5,7
20,19,1,5,6
20,20,1,5,5
20,3,0,5,4
20,4,0,5,3
20,5,0,5,2
20,6,0,5,1
20,7,0,5,0
20,8,0,6,10
20,9,0,6,9
20,10,0,6,8
20,11,0,6,7
20,12,0,6,6
20,13,0,6,5
20,14,0,6,4
20,15,0,6,3
20,16,0,6,2
20,17,0,6,1
20,18,0,6,0
20,19,0,7,6
20,20,0,7,5
20,21,0,7,4
20,2,0,7,3
20,0,1,7,2
20,0,0,7,1
20,22,0,7,0
21,0,7,0,11
21,0,6,0,10
21,0,5,0,9
21,0,4,0,8
21,0,3,0,7
21,0,2,0,6
21,2,5,0,5
21,2,4,0,4
21,2,3,0,3
21,3,4,0,2
21,4,4,0,1
21,5,4,0,0
21,10,4,1,11
21,3,3,1,10
21,4,3,1,9
21,5,3,1,8
21,6,3,1,7
21,7,3,1,6
21,8,3,1,5
21,9,3,1,4
21,10,3,1,3
21,11,3,1,2
21,12,3,1,1
21,3,2,1,0
21,4,2,2,11
21,5,2,2,10
21,6,2,2,9
21,7,2,2,8
21,8,2,2,7
21,9,2,2,6
21,10,2,2,5
21,11,2,2,4
21,12,2,2,3
21,13,2,2,2
21,14,2,2,1
21,17,2,2,0
21,20,2,3,11
21,3,1,3,10
21,4,1,3,9
21,5,1,3,8
21,6,1,3,7
21,7,1,3,6
21,8,1,3,5
21,9,1,3,4
21,10,1,3,3
21,11,1,3,2
