# TIA-102.BABA-A annex_g_hoc_allocation.csv — Bit Allocation for Higher Order DCT Coefficients (full-rate)
# Source: BABA-A PDF, pages 89-101
# Extracted from pdftotext -layout output with verification: Entry count = L-6 per L (3 at L=9 up to 50 at L=56); b_m contiguous from 8
L,C_i,C_k,b_m,B_m
52,4,4,32,1
52,4,5,33,1
52,4,6,34,1
52,4,7,35,0
52,4,8,36,0
52,4,9,37,0
52,5,2,38,2
52,5,3,39,1
52,5,4,40,1
52,5,5,41,1
52,5,6,42,1
52,5,7,43,0
52,5,8,44,0
52,5,9,45,0
52,6,2,46,2
52,6,3,47,1
52,6,4,48,1
52,6,5,49,1
52,6,6,50,1
52,6,7,51,0
52,6,8,52,0
52,6,9,53,0
53,1,2,8,3
53,1,3,9,2
53,1,4,10,1
53,1,5,11,1
53,1,6,12,1
53,1,7,13,1
53,1,8,14,1
53,2,2,15,3
53,2,3,16,2
53,2,4,17,2
53,2,5,18,1
53,2,6,19,1
53,2,7,20,1
53,2,8,21,1
53,2,9,22,1
53,3,2,23,2
53,3,3,24,2
53,3,4,25,1
53,3,5,26,1
53,3,6,27,1
53,3,7,28,1
53,3,8,29,1
53,3,9,30,0
53,4,2,31,2
53,4,3,32,2
53,4,4,33,1
53,4,5,34,1
53,4,6,35,1
53,4,7,36,0
53,4,8,37,0
53,4,9,38,0
53,5,2,39,2
53,5,3,40,1
53,5,4,41,1
53,5,5,42,1
53,5,6,43,1
53,5,7,44,0
53,5,8,45,0
53,5,9,46,0
53,6,2,47,2
53,6,3,48,1
53,6,4,49,1
53,6,5,50,1
53,6,6,51,0
53,6,7,52,0
53,6,8,53,0
53,6,9,54,0
54,1,2,8,3
54,1,3,9,2
54,1,4,10,2
54,1,5,11,1
54,1,6,12,1
54,1,7,13,1
54,1,8,14,1
54,1,9,15,0
54,2,2,16,3
54,2,3,17,2
54,2,4,18,2
54,2,5,19,1
54,2,6,20,1
54,2,7,21,1
54,2,8,22,1
54,2,9,23,0
54,3,2,24,2
54,3,3,25,2
54,3,4,26,1
