# TIA-102.BAAA-B annex_a3_ldu1_transmit_bit_order.csv -- LDU1 Transmit Bit Order
# Source: TIA-102.BAAA-B PDF, Annex A, page(s) 58-70
# Extracted from pdftotext -layout output with verification:
#   Symbol coverage: 0..863 (864 rows, complete with no gaps)
# Convention: symbol=dibit index in transmitted order; bit1=MSB of dibit, bit0=LSB
# Field names: FS=Frame Sync, NID=Network ID, NAC, DUID, BCH_parity,
#   SS=Status Symbol, IMBE codewords c_0..c_7, Short_Hamm_parity,
#   Short_Golay_parity, Extend_Golay_parity, RS_parity, LC_format,
#   MFID, LC_information, MI, ALGID, KID, LSD_info, cyclic_parity
symbol,field,bit1,bit0
308,END of 3,Short_Hamm_parity(3),Short_Hamm_parity(2)
309,END of 3,Short_Hamm_parity(1),Short_Hamm_parity(0)
310,END of 3,LC_information(35),LC_information(34)
311,END of 3,LC_information(33),LC_information(32)
312,END of 3,LC_information(31),LC_information(30)
313,END of 3,Short_Hamm_parity(3),Short_Hamm_parity(2)
314,END of 3,Short_Hamm_parity(1),Short_Hamm_parity(0)
315,END of 3,LC_information(29),LC_information(28)
316,END of 3,LC_information(27),LC_information(26)
317,END of 3,LC_information(25),LC_information(24)
318,END of 3,Short_Hamm_parity(3),Short_Hamm_parity(2)
319,END of 3,Short_Hamm_parity(1),Short_Hamm_parity(0)
320,IMBE 4,c_0(22),c_1(21)
321,IMBE 4,c_2(20),c_3(19)
322,IMBE 4,c_4(10),c_5(1)
323,Status 9,SS(1),SS(0)
324,Status 9,c_1(20),c_0(21)
325,Status 9,c_3(18),c_2(19)
326,Status 9,c_5(0),c_4(9)
327,Status 9,c_0(20),c_1(19)
328,Status 9,c_2(18),c_3(17)
329,Status 9,c_4(8),c_6(14)
330,Status 9,c_1(18),c_0(19)
331,Status 9,c_3(16),c_2(17)
332,Status 9,c_6(13),c_4(7)
333,Status 9,c_0(18),c_1(17)
334,Status 9,c_2(16),c_3(15)
335,Status 9,c_4(6),c_6(12)
