# TIA-102.BAAA-B annex_a2_hdu_transmit_bit_order.csv -- HDU Transmit Bit Order
# Source: TIA-102.BAAA-B PDF, Annex A, page(s) 52-57
# Extracted from pdftotext -layout output with verification:
#   Symbol coverage: 0..395 (396 rows, complete with no gaps)
# Convention: symbol=dibit index in transmitted order; bit1=MSB of dibit, bit0=LSB
# Field names: FS=Frame Sync, NID=Network ID, NAC, DUID, BCH_parity,
#   SS=Status Symbol, IMBE codewords c_0..c_7, Short_Hamm_parity,
#   Short_Golay_parity, Extend_Golay_parity, RS_parity, LC_format,
#   MFID, LC_information, MI, ALGID, KID, LSD_info, cyclic_parity
symbol,field,bit1,bit0
262,Status 7,RS_parity_13(3),RS_parity_13(2)
263,Status 7,RS_parity_13(1),RS_parity_13(0)
264,Status 7,Short_Golay_parity(11),Short_Golay_parity(10)
265,Status 7,Short_Golay_parity(9),Short_Golay_parity(8)
266,Status 7,Short_Golay_parity(7),Short_Golay_parity(6)
267,Status 7,Short_Golay_parity(5),Short_Golay_parity(4)
268,Status 7,Short_Golay_parity(3),Short_Golay_parity(2)
269,Status 7,Short_Golay_parity(1),Short_Golay_parity(0)
270,Status 7,RS_parity_12(5),RS_parity_12(4)
271,Status 7,RS_parity_12(3),RS_parity_12(2)
272,Status 7,RS_parity_12(1),RS_parity_12(0)
273,Status 7,Short_Golay_parity(11),Short_Golay_parity(10)
274,Status 7,Short_Golay_parity(9),Short_Golay_parity(8)
275,Status 7,Short_Golay_parity(7),Short_Golay_parity(6)
276,Status 7,Short_Golay_parity(5),Short_Golay_parity(4)
277,Status 7,Short_Golay_parity(3),Short_Golay_parity(2)
278,Status 7,Short_Golay_parity(1),Short_Golay_parity(0)
279,Status 7,RS_parity_11(5),RS_parity_11(4)
280,Status 7,RS_parity_11(3),RS_parity_11(2)
281,Status 7,RS_parity_11(1),RS_parity_11(0)
282,Status 7,Short_Golay_parity(11),Short_Golay_parity(10)
283,Status 7,Short_Golay_parity(9),Short_Golay_parity(8)
284,Status 7,Short_Golay_parity(7),Short_Golay_parity(6)
285,Status 7,Short_Golay_parity(5),Short_Golay_parity(4)
286,Status 7,Short_Golay_parity(3),Short_Golay_parity(2)
287,Status 8,SS(1),SS(0)
288,Status 8,Short_Golay_parity(1),Short_Golay_parity(0)
289,Status 8,RS_parity_10(5),RS_parity_10(4)
290,Status 8,RS_parity_10(3),RS_parity_10(2)
291,Status 8,RS_parity_10(1),RS_parity_10(0)
292,Status 8,Short_Golay_parity(11),Short_Golay_parity(10)
